id,numero_factura,id_cliente,id_empleado,fecha_emision,fecha_vencimiento,subtotal,descuento,impuestos,total,tipo_pago,estado,observaciones
38,FC-00000038,1,3,2024-04-24,2024-05-24,26295.78,3944.37,4693.8,27045.21,Tarjeta Crédito,Pendiente,
39,FC-00000039,18,13,2024-03-16,2024-04-15,3543.49,0.0,744.13,4287.62,Tarjeta Débito,Pagada,Cliente frecuente
40,FC-00000040,24,14,2024-10-12,2024-11-11,15093.55,754.68,3011.16,17350.03,Transferencia,Pendiente,
41,FC-00000041,24,11,2024-03-06,2024-04-05,16434.18,0.0,3451.18,19885.36,Efectivo,Pendiente,Promoción aplicada
42,FC-00000042,25,12,2024-09-24,2024-10-24,8876.33,0.0,1864.03,10740.36,Transferencia,Vencida,
43,FC-00000043,27,9,2024-01-04,2024-02-03,6009.16,600.92,1135.73,6543.97,Efectivo,Vencida,
44,FC-00000044,19,5,2024-06-19,2024-07-19,26832.42,2683.24,5071.33,29220.51,Efectivo,Pendiente,Cliente frecuente
45,FC-00000045,35,9,2024-04-08,2024-05-08,36743.0,0.0,7716.03,44459.03,Efectivo,Vencida,Cliente frecuente
46,FC-00000046,21,11,2024-07-19,2024-08-18,15158.5,0.0,3183.28,18341.78,Tarjeta Débito,Pendiente,Cliente frecuente
47,FC-00000047,1,12,2024-02-06,2024-03-07,24314.55,3647.18,4340.15,25007.52,Efectivo,Vencida,Promoción aplicada
48,FC-00000048,18,2,2024-07-18,2024-08-17,43425.89,4342.59,8207.49,47290.79,Transferencia,Pagada,Promoción aplicada
49,FC-00000049,1,3,2024-05-31,2024-06-30,49122.63,0.0,10315.75,59438.38,Efectivo,Vencida,Cliente frecuente
50,FC-00000050,13,8,2024-10-14,2024-11-13,36707.26,1835.36,7323.1,42195.0,Tarjeta Crédito,Vencida,
51,FC-00000051,32,10,2024-06-14,2024-07-14,38081.48,5712.22,6797.54,39166.8,Tarjeta Débito,Pagada,
52,FC-00000052,22,4,2024-08-22,2024-09-21,6714.98,0.0,1410.15,8125.13,Transferencia,Cancelada,
53,FC-00000053,16,12,2024-10-27,2024-11-26,30436.09,0.0,6391.58,36827.67,Tarjeta Débito,Pendiente,
54,FC-00000054,32,8,2024-04-27,2024-05-27,20573.98,0.0,4320.54,24894.52,Transferencia,Pendiente,
55,FC-00000055,19,4,2024-08-29,2024-09-28,29377.86,4406.68,5243.95,30215.13,Efectivo,Vencida,Promoción aplicada
56,FC-00000056,10,1,2024-01-28,2024-02-27,13640.96,2046.14,2434.91,14029.73,Transferencia,Cancelada,
57,FC-00000057,6,11,2024-06-27,2024-07-27,21244.56,1062.23,4238.29,24420.62,Tarjeta Débito,Cancelada,
58,FC-00000058,30,12,2024-07-05,2024-08-04,10499.83,0.0,2204.96,12704.79,Tarjeta Débito,Cancelada,
59,FC-00000059,47,13,2024-01-18,2024-02-17,14102.66,0.0,2961.56,17064.22,Tarjeta Débito,Pagada,
60,FC-00000060,3,5,2024-07-18,2024-08-17,784.09,39.2,156.43,901.32,Transferencia,Vencida,
61,FC-00000061,3,5,2024-01-02,2024-02-01,15677.37,2351.61,2798.41,16124.17,Efectivo,Pendiente,
62,FC-00000062,50,14,2024-10-12,2024-11-11,35867.7,1793.38,7155.61,41229.93,Tarjeta Débito,Vencida,
63,FC-00000063,2,4,2024-06-02,2024-07-02,25285.46,0.0,5309.95,30595.41,Transferencia,Pagada,
64,FC-00000064,5,8,2024-07-12,2024-08-11,44519.09,0.0,9349.01,53868.1,Tarjeta Crédito,Vencida,Cliente frecuente
65,FC-00000065,30,9,2024-06-28,2024-07-28,31265.26,4689.79,5580.85,32156.32,Transferencia,Pagada,Cliente frecuente
66,FC-00000066,32,1,2024-06-14,2024-07-14,39234.81,0.0,8239.31,47474.12,Transferencia,Pagada,
67,FC-00000067,28,9,2024-04-09,2024-05-09,41707.51,4170.75,7882.72,45419.48,Tarjeta Débito,Vencida,
68,FC-00000068,7,2,2024-10-08,2024-11-07,31476.26,0.0,6610.01,38086.27,Tarjeta Débito,Vencida,
69,FC-00000069,34,2,2024-07-25,2024-08-24,31506.35,0.0,6616.33,38122.68,Efectivo,Pendiente,
70,FC-00000070,23,9,2024-01-03,2024-02-02,26442.15,2644.22,4997.57,28795.5,Efectivo,Cancelada,
71,FC-00000071,2,11,2024-08-15,2024-09-14,13198.9,0.0,2771.77,15970.67,Tarjeta Crédito,Pagada,
72,FC-00000072,8,8,2024-04-09,2024-05-09,6498.68,649.87,1228.25,7077.06,Tarjeta Crédito,Cancelada,Cliente frecuente
73,FC-00000073,13,12,2024-05-18,2024-06-17,10722.77,536.14,2139.19,12325.82,Transferencia,Pagada,
74,FC-00000074,45,4,2024-08-17,2024-09-16,31548.61,4732.29,5631.43,32447.75,Tarjeta Crédito,Pagada,Cliente frecuente
75,FC-00000075,10,7,2024-06-10,2024-07-10,41102.01,6165.3,7336.71,42273.42,Tarjeta Crédito,Vencida,Promoción aplicada
76,FC-00000076,26,1,2024-04-14,2024-05-14,34045.74,5106.86,6077.16,35016.04,Transferencia,Cancelada,Cliente frecuente
77,FC-00000077,4,9,2024-08-20,2024-09-19,47134.54,0.0,9898.25,57032.79,Tarjeta Débito,Pagada,
78,FC-00000078,33,15,2024-09-21,2024-10-21,38614.85,0.0,8109.12,46723.97,Efectivo,Cancelada,Cliente frecuente
79,FC-00000079,22,5,2024-10-01,2024-10-31,16895.87,844.79,3370.73,19421.81,Efectivo,Vencida,Promoción aplicada
80,FC-00000080,6,10,2024-02-17,2024-03-18,9112.21,1366.83,1626.53,9371.91,Transferencia,Vencida,Cliente frecuente
81,FC-00000081,50,11,2024-05-23,2024-06-22,31038.52,4655.78,5540.38,31923.12,Efectivo,Cancelada,Promoción aplicada
82,FC-00000082,48,3,2024-04-23,2024-05-23,47784.17,7167.63,8529.47,49146.01,Tarjeta Crédito,Cancelada,Promoción aplicada
83,FC-00000083,27,4,2024-03-16,2024-04-15,31467.87,0.0,6608.25,38076.12,Tarjeta Débito,Pagada,Promoción aplicada
84,FC-00000084,42,13,2024-08-22,2024-09-21,35396.26,3539.63,6689.89,38546.52,Tarjeta Crédito,Pagada,
85,FC-00000085,28,8,2024-03-21,2024-04-20,6431.25,964.69,1147.98,6614.54,Tarjeta Débito,Pagada,
86,FC-00000086,29,5,2024-06-22,2024-07-22,32548.85,3254.89,6151.73,35445.69,Tarjeta Débito,Pagada,
87,FC-00000087,36,4,2024-01-15,2024-02-14,44190.84,0.0,9280.08,53470.92,Tarjeta Débito,Pendiente,
88,FC-00000088,16,13,2024-03-26,2024-04-25,5926.89,0.0,1244.65,7171.54,Tarjeta Débito,Cancelada,
89,FC-00000089,14,12,2024-09-05,2024-10-05,23431.78,1171.59,4674.64,26934.83,Efectivo,Cancelada,Promoción aplicada
90,FC-00000090,9,14,2024-07-20,2024-08-19,18323.24,0.0,3847.88,22171.12,Tarjeta Débito,Pagada,
91,FC-00000091,45,2,2024-02-21,2024-03-22,4420.59,442.06,835.49,4814.02,Efectivo,Pagada,Cliente frecuente
92,FC-00000092,23,5,2024-09-18,2024-10-18,15440.15,1544.02,2918.19,16814.32,Tarjeta Crédito,Pagada,
93,FC-00000093,35,1,2024-10-22,2024-11-21,9967.35,996.74,1883.83,10854.44,Tarjeta Débito,Cancelada,Promoción aplicada
94,FC-00000094,47,7,2024-10-17,2024-11-16,10233.23,511.66,2041.53,11763.1,Tarjeta Débito,Cancelada,
95,FC-00000095,10,3,2024-10-15,2024-11-14,38179.08,0.0,8017.61,46196.69,Efectivo,Cancelada,
96,FC-00000096,27,6,2024-06-25,2024-07-25,49994.72,0.0,10498.89,60493.61,Tarjeta Crédito,Pendiente,
97,FC-00000097,28,11,2024-01-22,2024-02-21,27017.55,4052.63,4822.63,27787.55,Efectivo,Vencida,Promoción aplicada
98,FC-00000098,40,1,2024-03-12,2024-04-11,46758.26,0.0,9819.23,56577.49,Tarjeta Crédito,Cancelada,Promoción aplicada
99,FC-00000099,8,1,2024-10-26,2024-11-25,42055.52,4205.55,7948.49,45798.46,Transferencia,Pagada,Promoción aplicada
100,FC-00000100,16,5,2024-10-20,2024-11-19,8834.4,0.0,1855.22,10689.62,Tarjeta Débito,Pendiente,Cliente frecuente
