id,id_factura,id_producto,cantidad,precio_unitario,descuento,subtotal
357,84,14,3,816.01,244.8,2203.23
358,84,13,5,522.16,0.0,2610.8
359,84,21,7,448.04,0.0,3136.28
360,84,6,10,3464.2,1732.1,32909.9
361,85,5,10,1156.42,578.21,10985.99
362,86,27,8,471.11,0.0,3768.88
363,86,10,5,2034.57,508.64,9664.21
364,86,6,5,3464.2,0.0,17321.0
365,86,23,7,1216.75,425.86,8091.39
366,86,22,2,2362.38,0.0,4724.76
367,86,4,7,2749.81,0.0,19248.67
368,86,17,10,467.6,0.0,4676.0
369,86,15,2,2282.85,0.0,4565.7
370,87,27,10,471.11,0.0,4711.1
371,87,15,2,2282.85,0.0,4565.7
372,87,12,7,530.37,0.0,3712.59
373,87,1,7,691.87,242.15,4600.94
374,88,22,3,2362.38,0.0,7087.14
375,88,23,8,1216.75,0.0,9734.0
376,88,14,5,816.01,0.0,4080.05
377,89,13,4,522.16,0.0,2088.64
378,89,17,2,467.6,0.0,935.2
379,89,9,9,2094.56,0.0,18851.04
380,89,28,5,2212.31,553.08,10508.47
381,89,30,2,2817.01,563.4,5070.62
382,90,27,8,471.11,0.0,3768.88
383,90,28,1,2212.31,110.62,2101.69
384,90,18,9,352.84,317.56,2858.0
385,91,5,9,1156.42,520.39,9887.39
386,91,11,8,3532.31,2825.85,25432.63
387,91,1,3,691.87,0.0,2075.61
388,91,28,3,2212.31,331.85,6305.08
389,91,17,3,467.6,0.0,1402.8
390,91,12,5,530.37,265.19,2386.66
391,92,27,9,471.11,0.0,4239.99
392,92,29,1,4598.68,0.0,4598.68
393,92,2,1,481.16,48.12,433.04
394,92,16,9,2514.84,0.0,22633.56
395,92,28,6,2212.31,663.69,12610.17
396,92,26,3,898.53,0.0,2695.59
397,93,30,8,2817.01,1126.8,21409.28
398,93,11,3,3532.31,0.0,10596.93
399,93,23,3,1216.75,365.03,3285.22
400,93,18,5,352.84,0.0,1764.2
401,93,5,1,1156.42,115.64,1040.78
402,94,9,6,2094.56,0.0,12567.36
403,95,23,2,1216.75,0.0,2433.5
404,95,16,9,2514.84,0.0,22633.56
405,95,11,8,3532.31,0.0,28258.48
406,95,18,4,352.84,70.57,1340.79
407,95,29,5,4598.68,0.0,22993.4
408,96,21,1,448.04,0.0,448.04
409,96,15,4,2282.85,0.0,9131.4
410,96,5,4,1156.42,0.0,4625.68
411,96,6,10,3464.2,0.0,34642.0
412,96,11,9,3532.31,1589.54,30201.25
413,97,6,7,3464.2,1212.47,23036.93
414,97,28,9,2212.31,995.54,18915.25
415,97,30,6,2817.01,0.0,16902.06
416,97,13,6,522.16,0.0,3132.96
417,97,4,9,2749.81,0.0,24748.29
418,97,14,6,816.01,0.0,4896.06
419,97,12,6,530.37,0.0,3182.22
420,97,5,5,1156.42,578.21,5203.89
421,98,1,1,691.87,0.0,691.87
422,98,9,2,2094.56,209.46,3979.66
423,98,12,9,530.37,477.33,4296.0
424,98,23,2,1216.75,243.35,2190.15
425,99,2,6,481.16,144.35,2742.61
426,99,26,1,898.53,44.93,853.6
427,99,3,5,2601.11,1300.56,11704.99
428,99,22,7,2362.38,0.0,16536.66
429,100,5,6,1156.42,693.85,6244.67
